College,Stream,Category,Opening_Rank,Closing_Rank
IIT-Bhub,CSE,Open,1764,2695
IIT-Bhub,CSE,OBC,578,1040
IIT-Bhub,CSE,SC,388,559
IIT-Bhub,CSE,ST,186,248
IIT-Bhub,Civil,Open,5802,7857
IIT-Bhub,Civil,OBC,1709,2560
IIT-Bhub,Civil,SC,1030,1197
IIT-Bhub,Civil,ST,448,472
IIT-Bhub,EE,Open,3284,5029
IIT-Bhub,EE,OBC,1222,1725
IIT-Bhub,EE,SC,905,1033
IIT-Bhub,EE,ST,394,426
IIT-Bhub,MECH,Open,3806,5522
IIT-Bhub,MECH,OBC,1331,1862
IIT-Bhub,MECH,SC,787,977
IIT-Bhub,MECH,ST,331,499
IIT-B,CSE,Open,1,62
IIT-B,CSE,OBC,9,45
IIT-B,CSE,SC,1,22
IIT-B,CSE,ST,4,15
IIT-B,Civil,Open,1046,2308
IIT-B,Civil,OBC,602,976
IIT-B,Civil,SC,203,511
IIT-B,Civil,ST,52,117
IIT-B,EE,Open,74,266
IIT-B,EE,OBC,60,158
IIT-B,EE,SC,14,80
IIT-B,EE,ST,3,27
IIT-B,MECH,Open,297,738
IIT-B,MECH,OBC,110,363
IIT-B,MECH,SC,80,163
IIT-B,MECH,ST,33,104
IIT-D,CSE,Open,3,104
IIT-D,CSE,OBC,21,67
IIT-D,CSE,SC,17,35
IIT-D,CSE,ST,5,25
IIT-D,Civil,Open,701,2869
IIT-D,Civil,OBC,486,980
IIT-D,Civil,SC,226,532
IIT-D,Civil,ST,10,53
IIT-D,EE,Open,226,416
IIT-D,EE,OBC,108,203
IIT-D,EE,SC,36,106
IIT-D,EE,ST,1,43
IIT-D,MECH,Open,445,944
IIT-D,MECH,OBC,210,452
IIT-D,MECH,SC,11,188
IIT-D,MECH,ST,24,60
IIT-M,CSE,Open,26,177
IIT-M,CSE,OBC,23,80
IIT-M,CSE,SC,38,54
IIT-M,CSE,ST,18,22
IIT-M,Civil,Open,2261,3632
IIT-M,Civil,OBC,791,1203
IIT-M,Civil,SC,330,672
IIT-M,Civil,ST,132,214
IIT-M,EE,Open,40,641
IIT-M,EE,OBC,97,259
IIT-M,EE,SC,29,216
IIT-M,EE,ST,34,103
IIT-M,MECH,Open,163,1222
IIT-M,MECH,OBC,222,520
IIT-M,MECH,SC,87,271
IIT-M,MECH,ST,96,149
IIT-Kh,CSE,Open,160,262
IIT-Kh,CSE,OBC,82,127
IIT-Kh,CSE,SC,44,77
IIT-Kh,CSE,ST,2,40
IIT-Kh,Civil,Open,2329,4071
IIT-Kh,Civil,OBC,968,1346
IIT-Kh,Civil,SC,480,699
IIT-Kh,Civil,ST,49,208
IIT-Kh,EE,Open,444,1174
IIT-Kh,EE,OBC,288,451
IIT-Kh,EE,SC,99,264
IIT-Kh,EE,ST,56,111
IIT-Kh,MECH,Open,843,1578
IIT-Kh,MECH,OBC,255,675
IIT-Kh,MECH,SC,188,327
IIT-Kh,MECH,ST,64,147
IIT-K,CSE,Open,104,206
IIT-K,CSE,OBC,64,116
IIT-K,CSE,SC,37,75
IIT-K,CSE,ST,31,48
IIT-K,Civil,Open,1718,3533
IIT-K,Civil,OBC,756,1246
IIT-K,Civil,SC,308,667
IIT-K,Civil,ST,62,190
IIT-K,EE,Open,354,816
IIT-K,EE,OBC,204,378
IIT-K,EE,SC,118,263
IIT-K,EE,ST,46,145
IIT-K,MECH,Open,917,1409
IIT-K,MECH,OBC,210,623
IIT-K,MECH,SC,187,321
IIT-K,MECH,ST,89,163
IIT-I,CSE,Open,848,1500
IIT-I,CSE,OBC,371,594
IIT-I,CSE,SC,249,351
IIT-I,CSE,ST,216,309
IIT-I,Civil,Open,5251,7258
IIT-I,Civil,OBC,1870,2292
IIT-I,Civil,SC,841,1125
IIT-I,Civil,ST,262,395
IIT-I,EE,Open,2255,3770
IIT-I,EE,OBC,1306,1550
IIT-I,EE,SC,559,938
IIT-I,EE,ST,301,407
IIT-I,MECH,Open,3452,4771
IIT-I,MECH,OBC,1060,1706
IIT-I,MECH,SC,506,992
IIT-I,MECH,ST,333,409
IIT-BHU,CSE,Open,479,935
IIT-BHU,CSE,OBC,248,394
IIT-BHU,CSE,SC,136,239
IIT-BHU,CSE,ST,158,180
IIT-BHU,Civil,Open,4099,6026
IIT-BHU,Civil,OBC,1429,1873
IIT-BHU,Civil,SC,808,983
IIT-BHU,Civil,ST,213,353
IIT-BHU,EE,Open,1804,3296
IIT-BHU,EE,OBC,756,1119
IIT-BHU,EE,SC,429,644
IIT-BHU,EE,ST,230,307
IIT-BHU,MECH,Open,2467,4086
IIT-BHU,MECH,OBC,777,1320
IIT-BHU,MECH,SC,653,792
IIT-BHU,MECH,ST,189,344
IIT-R,CSE,Open,261,449
IIT-R,CSE,OBC,129,202
IIT-R,CSE,SC,83,132
IIT-R,CSE,ST,58,98
IIT-R,Civil,Open,2876,4582
IIT-R,Civil,OBC,1049,1435
IIT-R,Civil,SC,524,789
IIT-R,Civil,ST,97,213
IIT-R,EE,Open,801,1905
IIT-R,EE,OBC,457,742
IIT-R,EE,SC,177,419
IIT-R,EE,ST,81,226
IIT-R,MECH,Open,1552,2343
IIT-R,MECH,OBC,519,885
IIT-R,MECH,SC,341,470
IIT-R,MECH,ST,151,258
IIT-Guwahati,CSE,Open,415,670
IIT-Guwahati,CSE,OBC,212,338
IIT-Guwahati,CSE,SC,101,197
IIT-Guwahati,CSE,ST,57,151
IIT-Guwahati,Civil,Open,3761,5284
IIT-Guwahati,Civil,OBC,1360,1784
IIT-Guwahati,Civil,SC,735,958
IIT-Guwahati,Civil,ST,237,308
IIT-Guwahati,ECE,Open,1251,1987
IIT-Guwahati,ECE,OBC,442,764
IIT-Guwahati,ECE,SC,287,530
IIT-Guwahati,ECE,ST,233,321
IIT-Guwahati,MECH,Open,2192,2923
IIT-Guwahati,MECH,OBC,755,1056
IIT-Guwahati,MECH,SC,496,657
IIT-Guwahati,MECH,ST,170,296
