College,Stream,Category,Closing_Rank
IIT-Bhub,CSE,Open,3442
IIT-Bhub,CSE,OBC,1400
IIT-Bhub,CSE,SC,566
IIT-Bhub,CSE,ST,393
IIT-Bhub,Civil,Open,10844
IIT-Bhub,Civil,OBC,4522
IIT-Bhub,Civil,SC,2345
IIT-Bhub,Civil,ST,430
IIT-Bhub,EE,Open,6178
IIT-Bhub,EE,OBC,2504
IIT-Bhub,EE,SC,1449
IIT-Bhub,EE,ST,783
IIT-Bhub,MECH,Open,9039
IIT-Bhub,MECH,OBC,3964
IIT-Bhub,MECH,SC,1897
IIT-Bhub,MECH,ST,475
IIT-B,CSE,Open,173
IIT-B,CSE,OBC,158
IIT-B,CSE,SC,84
IIT-B,CSE,ST,102
IIT-B,Civil,Open,4675
IIT-B,Civil,OBC,2214
IIT-B,Civil,SC,824
IIT-B,Civil,ST,231
IIT-B,EE,Open,730
IIT-B,EE,OBC,200
IIT-B,EE,SC,170
IIT-B,EE,ST,162
IIT-B,MECH,Open,2003
IIT-B,MECH,OBC,1023
IIT-B,MECH,SC,421
IIT-B,MECH,ST,310
IIT-D,CSE,Open,313
IIT-D,CSE,OBC,186
IIT-D,CSE,SC,188
IIT-D,CSE,ST,119
IIT-D,Civil,Open,5695
IIT-D,Civil,OBC,2652
IIT-D,Civil,SC,1274
IIT-D,Civil,ST,256
IIT-D,EE,Open,1166
IIT-D,EE,OBC,433
IIT-D,EE,SC,339
IIT-D,EE,ST,123
IIT-D,MECH,Open,2546
IIT-D,MECH,OBC,1548
IIT-D,MECH,SC,779
IIT-D,MECH,ST,147
IIT-M,CSE,Open,417
IIT-M,CSE,OBC,149
IIT-M,CSE,SC,244
IIT-M,CSE,ST,54
IIT-M,Civil,Open,7061
IIT-M,Civil,OBC,2673
IIT-M,Civil,SC,585
IIT-M,Civil,ST,209
IIT-M,EE,Open,1143
IIT-M,EE,OBC,201
IIT-M,EE,SC,269
IIT-M,EE,ST,86
IIT-M,MECH,Open,2819
IIT-M,MECH,OBC,1176
IIT-M,MECH,SC,583
IIT-M,MECH,ST,103
IIT-Kh,CSE,Open,508
IIT-Kh,CSE,OBC,421
IIT-Kh,CSE,SC,257
IIT-Kh,CSE,ST,193
IIT-Kh,Civil,Open,7591
IIT-Kh,Civil,OBC,3109
IIT-Kh,Civil,SC,569
IIT-Kh,Civil,ST,538
IIT-Kh,EE,Open,2435
IIT-Kh,EE,OBC,1014
IIT-Kh,EE,SC,547
IIT-Kh,EE,ST,364
IIT-Kh,MECH,Open,4190
IIT-Kh,MECH,OBC,1887
IIT-Kh,MECH,SC,1184
IIT-Kh,MECH,ST,434
IIT-K,CSE,Open,576
IIT-K,CSE,OBC,287
IIT-K,CSE,SC,240
IIT-K,CSE,ST,199
IIT-K,Civil,Open,7103
IIT-K,Civil,OBC,3172
IIT-K,Civil,SC,1360
IIT-K,Civil,ST,450
IIT-K,EE,Open,2001
IIT-K,EE,OBC,1399
IIT-K,EE,SC,769
IIT-K,EE,ST,268
IIT-K,MECH,Open,4056
IIT-K,MECH,OBC,2289
IIT-K,MECH,SC,1042
IIT-K,MECH,ST,467
IIT-I,CSE,Open,2299
IIT-I,CSE,OBC,1152
IIT-I,CSE,SC,778
IIT-I,CSE,ST,293
IIT-I,Civil,Open,9798
IIT-I,Civil,OBC,4531
IIT-I,Civil,SC,2578
IIT-I,Civil,ST,413
IIT-I,EE,Open,5244
IIT-I,EE,OBC,2661
IIT-I,EE,SC,1045
IIT-I,EE,ST,756
IIT-I,MECH,Open,8907
IIT-I,MECH,OBC,4877
IIT-I,MECH,SC,2089
IIT-I,MECH,ST,828
IIT-BHU,CSE,Open,1738
IIT-BHU,CSE,OBC,962
IIT-BHU,CSE,SC,730
IIT-BHU,CSE,ST,515
IIT-BHU,Civil,Open,9487
IIT-BHU,Civil,OBC,4629
IIT-BHU,Civil,SC,1819
IIT-BHU,Civil,ST,713
IIT-BHU,EE,Open,5239
IIT-BHU,EE,OBC,1356
IIT-BHU,EE,SC,1347
IIT-BHU,EE,ST,604
IIT-BHU,MECH,Open,7849
IIT-BHU,MECH,OBC,4707
IIT-BHU,MECH,SC,2168
IIT-BHU,MECH,ST,854
IIT-R,CSE,Open,863
IIT-R,CSE,OBC,527
IIT-R,CSE,SC,403
IIT-R,CSE,ST,263
IIT-R,Civil,Open,8108
IIT-R,Civil,OBC,3617
IIT-R,Civil,SC,1580
IIT-R,Civil,ST,542
IIT-R,EE,Open,3409
IIT-R,EE,OBC,1793
IIT-R,EE,SC,1109
IIT-R,EE,ST,394
IIT-R,MECH,Open,5569
IIT-R,MECH,OBC,2731
IIT-R,MECH,SC,1392
IIT-R,MECH,ST,795
IIT-Guwahati,CSE,Open,1256
IIT-Guwahati,CSE,OBC,738
IIT-Guwahati,CSE,SC,581
IIT-Guwahati,CSE,ST,316
IIT-Guwahati,Civil,Open,9122
IIT-Guwahati,Civil,OBC,4374
IIT-Guwahati,Civil,SC,2009
IIT-Guwahati,Civil,ST,437
IIT-Guwahati,ECE,Open,3274
IIT-Guwahati,ECE,OBC,1804
IIT-Guwahati,ECE,SC,1153
IIT-Guwahati,ECE,ST,373
IIT-Guwahati,MECH,Open,6381
IIT-Guwahati,MECH,OBC,3249
IIT-Guwahati,MECH,SC,1726
IIT-Guwahati,MECH,ST,558
