College,Stream,Category,Closing_Rank
IIT-Bhub,CSE,Open,2092
IIT-Bhub,CSE,OBC,861
IIT-Bhub,CSE,SC,422
IIT-Bhub,CSE,ST,254
IIT-Bhub,Civil,Open,8116
IIT-Bhub,Civil,OBC,2825
IIT-Bhub,Civil,SC,1284
IIT-Bhub,Civil,ST,430
IIT-Bhub,EE,Open,4492
IIT-Bhub,EE,OBC,1860
IIT-Bhub,EE,SC,1029
IIT-Bhub,EE,ST,505
IIT-Bhub,MECH,Open,5102
IIT-Bhub,MECH,OBC,2125
IIT-Bhub,MECH,SC,1080
IIT-Bhub,MECH,ST,475
IIT-B,CSE,Open,59
IIT-B,CSE,OBC,37
IIT-B,CSE,SC,14
IIT-B,CSE,ST,9
IIT-B,Civil,Open,2544
IIT-B,Civil,OBC,1086
IIT-B,Civil,SC,439
IIT-B,Civil,ST,139
IIT-B,EE,Open,265
IIT-B,EE,OBC,177
IIT-B,EE,SC,76
IIT-B,EE,ST,45
IIT-B,MECH,Open,848
IIT-B,MECH,OBC,449
IIT-B,MECH,SC,180
IIT-B,MECH,ST,67
IIT-D,CSE,Open,100
IIT-D,CSE,OBC,65
IIT-D,CSE,SC,31
IIT-D,CSE,ST,25
IIT-D,Civil,Open,3107
IIT-D,Civil,OBC,1224
IIT-D,Civil,SC,491
IIT-D,Civil,ST,87
IIT-D,EE,Open,462
IIT-D,EE,OBC,271
IIT-D,EE,SC,113
IIT-D,EE,ST,69
IIT-D,MECH,Open,1025
IIT-D,MECH,OBC,547
IIT-D,MECH,SC,226
IIT-D,MECH,ST,77
IIT-M,CSE,Open,200
IIT-M,CSE,OBC,89
IIT-M,CSE,SC,63
IIT-M,CSE,ST,37
IIT-M,Civil,Open,3748
IIT-M,Civil,OBC,111
IIT-M,Civil,SC,568
IIT-M,Civil,ST,209
IIT-M,EE,Open,568
IIT-M,EE,OBC,279
IIT-M,EE,SC,152
IIT-M,EE,ST,86
IIT-M,MECH,Open,1333
IIT-M,MECH,OBC,581
IIT-M,MECH,SC,302
IIT-M,MECH,ST,103
IIT-Kh,CSE,Open,272
IIT-Kh,CSE,OBC,137
IIT-Kh,CSE,SC,73
IIT-Kh,CSE,ST,47
IIT-Kh,Civil,Open,4078
IIT-Kh,Civil,OBC,1605
IIT-Kh,Civil,SC,697
IIT-Kh,Civil,ST,257
IIT-Kh,EE,Open,1101
IIT-Kh,EE,OBC,565
IIT-Kh,EE,SC,220
IIT-Kh,EE,ST,126
IIT-Kh,MECH,Open,1745
IIT-Kh,MECH,OBC,722
IIT-Kh,MECH,SC,305
IIT-Kh,MECH,ST,200
IIT-K,CSE,Open,213
IIT-K,CSE,OBC,145
IIT-K,CSE,SC,74
IIT-K,CSE,ST,49
IIT-K,Civil,Open,3707
IIT-K,Civil,OBC,1587
IIT-K,Civil,SC,698
IIT-K,Civil,ST,216
IIT-K,EE,Open,803
IIT-K,EE,OBC,484
IIT-K,EE,SC,216
IIT-K,EE,ST,141
IIT-K,MECH,Open,1611
IIT-K,MECH,OBC,711
IIT-K,MECH,SC,414
IIT-K,MECH,ST,196
IIT-I,CSE,Open,1264
IIT-I,CSE,OBC,496
IIT-I,CSE,SC,340
IIT-I,CSE,ST,214
IIT-I,Civil,Open,7207
IIT-I,Civil,OBC,2780
IIT-I,Civil,SC,1242
IIT-I,Civil,ST,413
IIT-I,EE,Open,3417
IIT-I,EE,OBC,1546
IIT-I,EE,SC,884
IIT-I,EE,ST,421
IIT-I,MECH,Open,4905
IIT-I,MECH,OBC,1895
IIT-I,MECH,SC,1022
IIT-I,MECH,ST,444
IIT-BHU,CSE,Open,908
IIT-BHU,CSE,OBC,375
IIT-BHU,CSE,SC,246
IIT-BHU,CSE,ST,151
IIT-BHU,Civil,Open,6740
IIT-BHU,Civil,OBC,2457
IIT-BHU,Civil,SC,1168
IIT-BHU,Civil,ST,366
IIT-BHU,EE,Open,3016
IIT-BHU,EE,OBC,1356
IIT-BHU,EE,SC,782
IIT-BHU,EE,ST,374
IIT-BHU,MECH,Open,4146
IIT-BHU,MECH,OBC,1599
IIT-BHU,MECH,SC,962
IIT-BHU,MECH,ST,425
IIT-R,CSE,Open,416
IIT-R,CSE,OBC,225
IIT-R,CSE,SC,108
IIT-R,CSE,ST,82
IIT-R,Civil,Open,4756
IIT-R,Civil,OBC,1809
IIT-R,Civil,SC,758
IIT-R,Civil,ST,244
IIT-R,EE,Open,1735
IIT-R,EE,OBC,799
IIT-R,EE,SC,446
IIT-R,EE,ST,243
IIT-R,MECH,Open,2485
IIT-R,MECH,OBC,1029
IIT-R,MECH,SC,594
IIT-R,MECH,ST,277
IIT-Guwahati,CSE,Open,554
IIT-Guwahati,CSE,OBC,304
IIT-Guwahati,CSE,SC,149
IIT-Guwahati,CSE,ST,122
IIT-Guwahati,Civil,Open,5890
IIT-Guwahati,Civil,OBC,2146
IIT-Guwahati,Civil,SC,935
IIT-Guwahati,Civil,ST,344
IIT-Guwahati,ECE,Open,1564
IIT-Guwahati,ECE,OBC,759
IIT-Guwahati,ECE,SC,520
IIT-Guwahati,ECE,ST,328
IIT-Guwahati,MECH,Open,2942
IIT-Guwahati,MECH,OBC,1223
IIT-Guwahati,MECH,SC,664
IIT-Guwahati,MECH,ST,398
